,Description,UseType
203,ERECT A 71’ X 54’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2418 SF (LIVING AREA-1ST FL); 833 SF (GARAGE); 234 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH/1 HALF BATH),Residential
204,ERECT A 63.4’ X 40’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1426 SF (LIVING AREA-1ST FL); 413 SF (GARAGE); 179 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
205,GENERAL REPAIRS TO REPLACE ROOFING AND DECKING DUE TO ROTTEN WOOD AT EXISTING DWELLING. TO COMPLY WITH ALL APPLICABLE CODES. WORK TO COMPLETED WITHIN 45 DAYS.,Residential
206,ERECT A 56’ X 43’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1651 SF (LIVING AREA-1ST FL); 429.8 SF (GARAGE); 279.2 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
207,"ERECT A 50'X70'-6 1/2"" ONE STORY BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL SQ FT OF 2838, LIVING AREA 2214 SQ FT, GARAGE 438 SQ FT, OTHER 186 SQ FT.  BEDROOM WINDOWS, PRE-FAB FIREPLACE, AND SMOKE DETECTORS MUST COMPLY TO CODES.  MUST COMPLY WITH STATE ENERGY REPORT.  SAN FACILITY IS REQUIRED. MUST MAINTAIN 10' BETWEEN STRUCTURE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.(4 BEDROOMS/2 BATHS)",Residential
208,"ERECT A 48’ X 24’ TWO STORY BRICK VENEER DETACHED GARAGE WITH 420 1SF FL, 1152 SF 2ND FLOOR LIVING AREA (2BD/2BATHS) AND ALSO DETACHED GARDEN BUILDING WITH 1152 SF. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.",Residential
209,"REPLACEMENT OF A 36 3/4 X 102"" WALL SIGN, A 49""X 112 1'2"" CABINET ON AN FREE STANDING SIGN AND 1-22 7/8""X26 11/16"" AND (1) 15""X26 11/16"" WINDOW GRAPHICS TO AN EXISTING COMMERCIAL BUILDING. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"".  TO MEET ALL APPLICABLE CODES.",Commercial
210,ALTERATIONS/GENERAL REPAIRS TO EXISTING COMMERCIAL BUILDING. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
211,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
212,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
213,ERECT A 90' X 47' ONE STORY BRICK VENEER COMMERCIAL BUILDING TO BE USED FOR OFFICE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. (THIS IS FOR THE SHELL ONLY) ADDITIONAL PERMIT AND PLANS REQUIRED FOR FINISHING. TO MEET ALL APPLICABLE CODES.,Commercial
214,ERECT A 68.6’ X 40’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1674 SF (LIVING AREA-1ST FL); 471 SF (GARAGE); 178 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
215,GRADING PERMIT TO ERECT AN 81’ X 44’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2100 SF (LIVING AREA-1ST FL); 463 SF (GARAGE); 184 SF (OTHER). PROPERTY IS NOT IN A PRIORITY SITE. MUST COMPLY WITH CITY GUIDE LNES. TO MEET ALL APPLICABLE CODES.,Residential
216,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
217,GENERAL REPAIRS TO REPLACE WINDOWS AT EXISTING DWELLING. BEDROOM WINDOWS TO COMPLY WITH ALL APPLICABLE CODES.,Residential
218,ALTERATIONS TO EXISTING TWO STORY COMMERCIAL BUILDING TO BE USED AS HOTEL WITH 64 UNITS. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. TO MEET ALL APPLICABLE CODES.,Commercial
219,ALTERATIONS/GENERAL REPAIRS TO EXISTING COMMERCIAL BUILDING. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
220,"ERECT A 41'2""X67' TWO STORY BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL SQ FT OF 3261 WITH A LIVING AREA OF 1492 SQ FT, SECOND FLOOR 986 SQ FT, GARAGE 565 SQ FT, AND OTHER 218 SQ FT.  BEDROOM WINDOWS PER CODES.  PRE-FAB FIREPLACE PER CODES.  STAIRS PER CODE. SMOKE DECTECTORS PER CODE. MUST COMPLY WITH STATE ENERGY CODE. SAN FACILITY IS REQUIRED.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.  (4 BEDROOMS, 2.5 BATHS)",Residential
221,ERECT A 63’ X 53’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2299 SF (LIVING AREA-1ST FL); 716 SF (GARAGE); 371 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH/1 HALF BATH),Residential
222,DEMOLISH A DWELLING TO CLEAR LOT.  HEALTH DEPT APPROVAL ON FILE.  WATER WORKS 161674 APPROVAL ON FILE.  BOND 427715 ON FILE.  ASBESTOS 10 DAY NOTICE ON FILE.  THIS PERMIT IS GOOD FOR 30 DAYS.  BUILDING INSPECTION IS NEEDED FOR COMPLETION.  TO MEET ALL APPLICABLE CODES.,Residential
223,"ERECT A 45'-6""X 38'-8"" ONE STORY BRICK VENEER SINGLE FAMILY DWELLING WITH 1564 SQ FT LIVING AREA, AND 16 SQ FT OTHER.  BEDROOM WINDOWS, SMOKE DETECTORS, FIREPLACE MUST COMPLY TO CODES. MUST COMPLY WITH STATE ENERGY REPORT. SAN FACILITY IS REQUIRED. MUST MAINTAIN 15' BETWEEN STRUCTURES. ALL INSPECTIONS REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES. (3 BEDROOM, 2 BATHROOM)",Residential
224,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
225,"ALTERATIONS TO A 6,324 SQ FT EXISTING COMMERCIAL BUILDING TO BE USED AS A DIALYSIS FACILITY.  A SET OF STAMPED PLANS WITH REVIEW LETTER MUST BE KEPT ON THE JOBSITE AT ALL TIMES. MUST COMPLY WITH STATE ENERGY CODE. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.",Commercial
226,ALTERATIONS TO EXISTING HOTEL LOBBY AS PER PLANS AND SPECIFICATIONS OF A COMMERCIAL BUILDING (HOTEL). A SET OF STAMPED PLANS MUST BE KEPT ON THE JOBSITE AT ALL TIMES.  HEALTH DEPARTMENT CERTIFICATION REQUIRED. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. MAINTAIN EXISTS DURING CONSTRUCTION TO MEET APPLICABLE CODES.,Commercial
227,GRADING PERMIT TO ERECT A 63.4’ X 40’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1445 SF (LIVING AREA-1ST FL); 414 SF (GARAGE); 177 SF (OTHER). PROPERTY IS NOT IN A PRIORITY SITE. MUST COMPLY WITH CITY GUIDE LNES. TO MEET ALL APPLICABLE CODES.,Residential
228,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
229,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
230,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
231,"ERECT A 52'5"" X 75'04"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 3259 SF TOTAL, 2356 SF LIVING AREA, GARAGE 695 SF, OTHER 208 SF. PRE-FAB FIREPLACE PER CODES. BEDROOM WINDOWS, SMOKE DETECTORS PER CODES. SAN FAC REQ PER IBC. ENERGY CERT REQ.  TO MEET ALL APPLICABLE CODES. (4BR/3BATHS)",Residential
232,ALTERATIONS TO (5) EXISTING ADA ROOMS AS PER PLANS AND SPECIFICATIONS OF A COMMERCIAL BUILDING (HOTEL).A SET OF STAMPED PLANS MUST BE KEPT ON THE JOBSITE AT ALL TIMES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. MAINTAIN EXISTS DURING CONSTRUCTION TO MEET APPLICABLE CODES.,Commercial
233,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
234,ERECT A 71’ X 54’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2418 SF (LIVING AREA-1ST FL); 833 SF (GARAGE); 234 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH/1 HALF BATH),Residential
235,ERECT A 30’X 50’ ONE AND ONE HALF STORY DETACHED GARAGE WITH 1500 SF (GARAGE). THE ACCESSORY STRUCTURE(DETACHED GARAGE) CAN NOT INCLUDE A TOILET/BATHROOM. SINK AND POWER IS APPROVED BY BOARD OF ADJUSTMENT. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
236,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
237,ALTERATIONS TO EXISTING HOTEL LOBBY AS PER PLANS AND SPECIFICATIONS OF A COMMERCIAL BUILDING (HOTEL). A SET OF STAMPED PLANS MUST BE KEPT ON THE JOBSITE AT ALL TIMES.  HEALTH DEPARTMENT CERTIFICATION REQUIRED. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. MAINTAIN EXISTS DURING CONSTRUCTION TO MEET APPLICABLE CODES.,Commercial
238,GRADING PERMIT TO ERECT A 63.4’ X 40’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1426 SF (LIVING AREA-1ST FL); 413 SF (GARAGE); 179 SF (OTHER). PROPERTY IS NOT IN A PRIORITY SITE. MUST COMPLY WITH CITY GUIDE LNES. TO MEET ALL APPLICABLE CODES.,Residential
239,RESIDENTIAL ADDITION TO EXISTING DWELLING. ADD (1) ONE FULL BATH. PRE APPROVED BY PLANNING DEPT. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
240,"INSTALL A 8'9""X19'4"" FREE STANDING 2 FACES SIGN TO AN EXISTING COMMERCIAL PROPERTY.  NO PART OF ANY SIGN SHALL BE CLOSER TO THE STREET PROPERTY LINES THAN 10' AND SHALL NOT EXCEED 45' IN HEIGHT. TO MEET ALL APPLCABLE CODES.",Commercial
241,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING TO INSTALL REPLACEMENT WINDOWS. BEDROOM WINDOWS PER CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
242,"INSPECTION PER EXISTING NAIL SALON, NEW OWNERSHIP; KIEN DUONG (334)546-5900;",Commercial
243,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
244,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
245,REPAIRS MADE TO EXISTING DWELLING DAMAGED BY FIRE.,Residential
246,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
247,GRADING PERMIT TO ERECT A 71’ X 54’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2418 SF (LIVING AREA-1ST FL); 833 SF (GARAGE); 234 SF (OTHER). PROPERTY IS NOT IN A PRIORITY SITE. MUST COMPLY WITH CITY GUIDE LNES. TO MEET ALL APPLICABLE CODES.,Residential
248,ERECT A 69.4’ X 40’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1790 SF (LIVING AREA-1ST FL); 574 SF (LIVING AREA-2ND FL); 489 SF (GARAGE); 283 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH),Residential
249,ERECT A 63.4’ X 40’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1445 SF (LIVING AREA-1ST FL); 414 SF (GARAGE); 177 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
250,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
251,ERECT A 69.4’ X 40’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1790 SF (LIVING AREA-1ST FL); 574 SF (LIVING AREA-2ND FL); 489 SF (GARAGE); 283 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH),Residential
252,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
253,ALTERATIONS TO EXISTING TWO STORY COMMERCIAL BUILDING TO BE USED AS HOTEL WITH 64 UNITS. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. TO MEET ALL APPLICABLE CODES.,Commercial
254,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
255,"ERECT 3 STORY BRICK VENEER APARTMENTS WITH 80 UNITS.  116,091 SF TOTAL.  STAMPED PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPARTMENTS. THIS IS THE MASTER PERMIT ONLY.  SEE WORKING PERMITS FOR INSPECTIONS. TO MEET ALL APPLICABLE CODES. ***FEES WAIVED***",Commercial
256,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
257,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
258,REMODELING REPAIR TO THE INTERIOR OF AN EXISTING DWELLING.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
259,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
260,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
261,ERECT A 74’X 39’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1883 SF (LIVING AREA-1ST FL); 564 SF (LIVING AREA-2ND FL); 473 SF (GARAGE); 285 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (5 BR/3 BATH),Residential
262,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
263,"INSTALL A 8'9""X19'4"" FREE STANDING 2 FACES SIGN TO AN EXISTING COMMERCIAL PROPERTY.  NO PART OF ANY SIGN SHALL BE CLOSER TO THE STREET PROPERTY LINES THAN 10' AND SHALL NOT EXCEED 45' IN HEIGHT. TO MEET ALL APPLCABLE CODES.",Commercial
264,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOW PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
265,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
266,ERECT AN 85.5’ X 68.67’ ONE AND ONE HALF STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 3141 SF (LIVING AREA-1ST FL); 461 SF (LIVING AREA-2ND FL); 600 SF (GARAGE); 291 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH),Residential
267,INSTALL A 27'X12'X8' PATIO COVER OVER AN EXISTING PATIO TO THE REAR OF AN EXISTING DWELLING.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
268,"REPLACE 4 SIGN FACES ON EXISTING ID SIGN SIZE 5' 8 1/2"" X 3' 6 1/2"" = 43 SQ FT & 68.5"" X 44.5"" = 43 SQ FT FOR TOTAL SQ FT 906 WITH A TOTAL HEIGHT OF 68.5""  WITH A WIND LOAD OF 145 TO MEET ALL APPLICABLE CODES.",Commercial
269,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
270,DEMOLISH A DWELLING TO CLEAR LOT.  HEALTH DEPT APPROVAL ON FILE.  WATER WORKS 128523 APPROVAL ON FILE.  BOND 427711 ON FILE.  ASBESTOS 10 DAY NOTICE ON FILE.  THIS PERMIT IS GOOD FOR 30 DAYS.  BUILDING INSPECTION IS NEEDED FOR COMPLETION.  TO MEET ALL APPLICABLE CODES.,Residential
271,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
272,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
273,"REPLACEMENT OF A 36 3/4 X 102"" WALL SIGN, A 49""X 112 1'2"" CABINET ON AN FREE STANDING SIGN AND 1-22 7/8""X26 11/16"" AND (1) 15""X26 11/16"" WINDOW GRAPHICS TO AN EXISTING COMMERCIAL BUILDING. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"".  TO MEET ALL APPLICABLE CODES.",Commercial
274,ALTERATIONS TO (5) EXISTING ADA ROOMS AS PER PLANS AND SPECIFICATIONS OF A COMMERCIAL BUILDING (HOTEL).A SET OF STAMPED PLANS MUST BE KEPT ON THE JOBSITE AT ALL TIMES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. MAINTAIN EXISTS DURING CONSTRUCTION TO MEET APPLICABLE CODES.,Commercial
275,"REPLACE 4 SIGN FACES ON EXISTING ID SIGN SIZE 5' 8 1/2"" X 3' 6 1/2"" = 43 SQ FT & 68.5"" X 44.5"" = 43 SQ FT FOR TOTAL SQ FT 906 WITH A TOTAL HEIGHT OF 68.5""  WITH A WIND LOAD OF 145 TO MEET ALL APPLICABLE CODES.",Commercial
276,"GRADING PERMIT TO ERECT A 39'-6"" X 50""-10"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH A TOTAL SQ FT OF 1999 WITH 1525 SQ FT (LIVING AREA); 391 SQ FT (GARAGE) 83 SQ FT (OTHER). PROPERTY IS NOT IN A PRIORITY CONSTRUCTION SITE. MUST COMPLY WITH CITY'S GUIDELINES. TO MEET ALL APPLICABLE CODES.",Residential
277,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LICENSE TO BE USED AS AN OFFICE FOR ADJUSTER CLAIMS OFFICE.  PAM ANDRUS  OFFICE 337-551-4500,Commercial
278,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
279,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
280,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
281,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING. INTENT TO REPAIR APPLICATION REVIEWED BY HOUSING CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
282,ALTERATION TO AN EXISTING COMMERCIAL BUILDING FOR THE PURPOSE OF RETAIL.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  A SET OF PLANS WITH REVIEW LETTER MUST BE KEPT ON THE JOB SITE AT ALL TIMES.  TO MEET ALL APPLICABLE CODES.,Commercial
283,APARTMENT COMPLEX AND OFFICE/CLUB HOUSE TO BE INSPECTED FOR CERTIFICATE OF OCCUPANCY; STACY GIBBY/PROPERTY MANAGER (334)356-8010,Commercial
284,ERECT A 63.4’ X 40’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1426 SF (LIVING AREA-1ST FL); 413 SF (GARAGE); 179 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
285,CERTIFICATE OF OCCUPANCY FOR A BUS LIC TO BE USED FOR A MOBILE HOME PARK.  POINT OF CONTACT VINCENT OSBORNE 334-328-8299.,Commercial
286,REPLACEMENT OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY WITH CODES.  TO MEET ALL APPLICABLE CODES.,Residential
287,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
288,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
289,"TO INSTALL 2 (TWO) ILLUMINATED SIGN. ONE (1) ONE FACE – 4’-5” x 27’-3.5” AND ONE (1) PYLON – 6’-1.25” x 16’-2.5”, SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS “NRTL”. ALL APPLICABLE DEPARTMENT INSPECTON AS REQUIRED; TO MEET ALL APPLICABLE CODES.",Commercial
290,REPLACE WINDOWS DWELLING TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
291,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING TO INSTALL REPLACEMENT WINDOWS. BEDROOM WINDOWS PER CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
292,"GRADING PERMIT TO ERECT A 50' X 70'4"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2420 SF TOTAL, 1835 SF LIVING AREA, GARAGE 438 SF, OTHER 147 SF. PROPERTY IS IN A PRIORITY CONSTRUCTION SITE.  NPDES PERMIT NO. ALR108799. TO MEET ALL APPLICABLE CODES.",Residential
293,"CERTIFICATE OF OCCUPANCY FOR A BUSINESS LIC TO BE USED FOR FINANCIAL ADVISORY SERVICES, INSURANCE, AND INVESTMENTS.  POINT OF CONTACT BRAD BRAITHWARTE, JR 919-592-0180",Commercial
294,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
295,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
296,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
297,RESIDENTIAL ADDITION TO EXISTING DWELLING. ADD (1) ONE FULL BATH. PRE APPROVED BY PLANNING DEPT. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
298,REPAIR TERMITE DAMAGE,Residential
299,"REPLACEMENT OF AN ILLUMINATED TWO FACED 4' 7-15/16"" X 9' 1-3/16""  EXISTING READER BOARD TO AN EXISTING COMMERCIAL PROPERTY. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABORATORY OR NRTL.  TO MEET ALL APPLICABLE CODES.",Commercial
300,ERECT AN 85.5’ X 68.67’ ONE AND ONE HALF STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 3141 SF (LIVING AREA-1ST FL); 461 SF (LIVING AREA-2ND FL); 600 SF (GARAGE); 291 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH),Residential
